species,abv,order,family,diet,diet2,BM,RJLB,HI,CA,LMRL,p4L,p4W,m1L,m1W,m2L,m2W,m3L,m3W,LPRL,JLB,JMA,JMB,JMC,SUML,SUMW,MZW,PAW,SA,SB,SC,BL,SD,JD,SE
Procapra gutterosa,Prgu  ,Art ,Bovid    ,MO    ,MO    ,30,1.481149013,3.90,153,5.57,1.05,0.62,1.43,0.76,1.67,0.84,2.37,0.85,2.60,8.25,6.18,7.20,5.06,1.74,1.17,2.90,4.24,10.87,4.52,10.55,8.25,7.14,3.33,3.18
Pseudois nayeur,Psna  ,Art ,Bovid    ,MO    ,GG    ,59,1.53816047,5.30,137,5.11,0.82,0.57,1.13,0.63,1.50,0.76,2.45,0.77,2.00,7.86,6.93,6.26,5.09,1.57,1.17,2.72,3.80,11.38,5.50,10.20,7.55,7.91,3.92,3.23
Pudu mephistopheles,Pume  ,Art ,Cerv     ,Br    ,Br    ,9,1.713463242,1.61,167,2.82,0.80,0.47,0.82,0.51,0.87,0.54,1.08,0.57,2.18,4.84,2.53,3.50,3.29,0.90,0.76,1.64,2.92,6.01,3.27,5.09,5.06,1.82,2.28,1.77
Pudu pudu,Pupu  ,Art ,Cerv     ,Br    ,Br    ,11,1.649921507,1.62,171,3.19,0.84,0.50,0.90,0.63,0.93,0.62,1.24,0.61,2.36,5.26,2.76,4.04,3.40,1.03,0.89,1.63,2.66,6.73,3.55,5.68,5.16,2.15,2.47,1.96
Raphicerus campestris,Raca  ,Art ,Bovid    ,MO    ,MO    ,11.8,1.481586402,3.44,152,3.11,0.78,0.31,0.84,0.44,0.95,0.47,1.28,0.44,1.91,4.61,2.63,4.20,3.21,0.98,0.76,1.38,2.41,5.94,3.30,5.34,4.52,2.74,2.07,1.39
Raphicerus melanotis,Rame  ,Art ,Bovid    ,MO    ,MO    ,10.6,1.571428571,2.64,159,2.73,0.76,0.30,0.73,0.39,0.89,0.41,1.10,0.40,1.94,4.29,2.40,3.30,3.09,0.84,0.60,1.34,2.27,6.47,3.62,5.53,5.00,2.07,2.40,1.40
Rangifer tarandus,Rata  ,Art ,Cerv     ,MC    ,MC    ,145,2.380952381,1.52,167,5.88,1.60,0.85,1.88,0.87,1.85,0.92,1.97,0.80,4.22,14.00,7.75,8.75,6.00,1.87,1.10,5.20,5.22,14.70,7.75,12.95,9.10,7.55,4.06,3.77
Redunca arundinum,Rear  ,Art ,Bovid    ,FG  ,FG,62,2.171247357,3.59,149,4.73,1.01,0.71,1.20,0.78,1.36,0.80,2.00,0.77,2.66,10.27,6.90,9.30,6.88,1.53,1.19,3.15,3.86,12.85,6.04,11.05,9.20,6.76,4.28,3.86
Redunca fulvorufula,Refu  ,Art ,Bovid    ,MO  ,MO ,26,2.035837297,3.79,154,4.06,0.86,0.51,1.03,0.72,1.27,0.73,1.68,0.73,1.89,8.28,4.92,6.35,5.09,1.28,0.99,2.48,3.03,9.82,4.60,8.84,7.25,4.79,3.41,2.55
Rhinoceros sondaicus,Rhso  ,Pers,Rhino    ,Br    ,Br    ,1400,1.806451613,1.72,210,12.40,3.74,2.37,3.91,2.40,4.22,2.43,3.98,2.10,9.90,22.40,16.80,21.65,16.95,4.66,4.16,8.30,7.80,23.70,22.50,25.35,24.60,7.00,3.65,9.25
Rhinoceros unicornis,Rhun  ,Pers,Rhino    ,MC    ,MC    ,1558,1.446225785,1.59,205,14.97,4.40,2.51,3.98,2.55,5.20,2.63,5.23,2.36,10.80,21.65,17.84,29.01,21.97,5.51,5.10,10.09,9.14,27.98,25.90,30.40,25.04,11.98,6.13,10.40
Rupicapra rupicapra,Ruru  ,Art ,Bovid    ,MO    ,MO    ,36.4,1.608488695,4.19,147,4.20,0.82,0.49,1.07,0.60,1.32,0.65,1.66,0.61,2.09,6.76,4.50,5.29,4.02,1.31,0.97,2.17,3.29,9.27,4.31,7.91,5.98,5.57,2.85,2.55
Saiga tatarica,Sata  ,Art ,Bovid    ,MO    ,MO    ,36.4,1.286764706,5.29,145,5.44,0.88,0.48,1.55,0.67,1.62,0.72,2.30,0.64,1.39,7.00,4.35,6.80,4.74,1.90,1.08,2.34,3.62,9.17,4.40,8.32,6.75,6.67,3.27,1.87
Sus scrofa cristatus,Susc  ,Art ,Suid     ,Om    ,Om    ,80,1.407549584,1.28,174,7.82,1.41,0.42,1.58,1.03,2.27,1.21,4.20,1.30,3.65,11.00,7.33,11.74,7.93,2.35,1.56,3.98,2.89,9.92,11.55,11.19,11.55,9.11,1.10,7.88
Syncerus caffer,Syca  ,Art ,Bovid    ,GG    ,MO    ,496,1.982797947,3.82,154,9.57,2.08,1.34,2.40,1.58,2.77,1.57,3.87,1.59,5.53,18.97,9.83,15.15,10.28,2.79,2.11,9.85,8.70,20.87,10.93,21.71,13.68,10.39,5.60,5.04
Sylvicapra grimmia,Sygr  ,Art ,Bovid    ,Br   ,Br    ,11,1.951595931,2.97,160,3.56,0.82,0.44,0.92,0.59,1.12,0.69,1.36,0.64,2.34,6.96,2.79,5.10,3.88,1.22,0.93,1.94,3.08,6.62,4.28,6.06,6.13,2.98,2.03,1.79
Tapirus bairdii,Taba  ,Pers,Tapir    ,Br    ,Br    ,275,2.145336226,0.89,183,6.92,2.07,1.55,2.31,1.68,2.36,1.77,2.35,1.76,5.95,14.84,7.66,13.54,11.65,2.42,2.19,5.10,5.75,16.42,11.87,15.92,13.80,4.39,5.76,4.92
Tapirus indicus,Tain  ,Pers,Tapir    ,Br    ,Br    ,317,2.021058038,0.76,193,7.79,2.33,1.68,2.43,1.89,2.75,2.07,2.90,2.05,7.05,15.74,9.34,14.83,13.35,2.79,2.66,4.92,6.56,18.13,11.73,18.28,16.60,4.56,6.76,5.00
Taurotragus oryx,Taor  ,Art ,Bovid    ,MO    ,MO    ,511,1.591549796,2.91,155,9.59,2.02,1.26,2.30,1.48,2.98,1.55,4.11,1.53,5.32,15.27,10.19,11.54,8.85,3.17,2.18,6.24,7.60,18.36,10.25,18.73,11.34,13.00,5.29,6.07
Tayassu pecari,Tape  ,Art ,Tayas    ,Om    ,Om    ,31,1.703846154,1.00,164,5.2,1.22,0.8,1.38,0.9,1.56,1,2.14,1.04,2.8,8.86,4.26,8.16,6.6,1.53,1.2,4.43,1.9,8.56,9.5,9.13,6.3,5.63,3.15,2
Tapirus pinchaque,Tapi  ,Pers,Tapir    ,MC    ,MC    ,250,2.070769231,1.31,173,6.50,2.08,1.51,2.23,1.54,2.46,1.72,2.67,1.75,5.81,13.46,6.66,11.34,10.44,2.17,2.09,4.32,5.82,15.22,9.79,14.05,12.90,4.12,5.35,4.69
Tayassu tajacu,Tata  ,Art ,Tayas    ,Om    ,Om    ,19.9,1.736242884,1.23,161,4.39,1.07,0.72,1.20,0.81,1.32,0.94,1.83,0.91,2.74,7.63,3.65,6.55,5.14,1.33,1.01,2.67,1.65,7.20,7.77,7.60,5.92,4.69,2.32,1.51
Tapirus terrestris,Tate  ,Pers,Tapir    ,Br    ,Br    ,240,1.898763704,0.92,196,7.15,2.13,1.51,2.18,1.47,2.46,1.77,2.56,1.83,6.33,13.57,8.22,12.61,11.06,2.43,2.29,4.22,5.82,16.29,12.21,16.41,13.31,4.09,5.55,4.93
Tetracerus quadricornis,Tequ  ,Art ,Bovid    ,MC    ,MC  ,22.7,1.897435897,3.77,159,3.90,1.02,0.50,0.84,0.66,1.20,0.74,1.50,0.71,2.86,7.40,3.45,5.27,4.04,1.20,1.10,2.20,3.17,8.75,4.19,7.00,4.90,2.97,2.69,1.62
Tragelaphus angasi,Tran  ,Art ,Bovid    ,MC    ,MC/O  ,93.3,1.91,2.52,159,5.50,1.37,0.73,1.37,0.87,1.73,0.96,2.37,0.95,3.53,10.51,6.52,7.40,5.51,1.72,1.38,3.36,4.40,13.19,6.08,11.95,8.65,6.02,3.62,3.50
Tragelaphus buxtoni,Trbu  ,Art ,Bovid    ,Br    ,Br    ,183,1.778093883,1.95,158,7.03,1.50,0.93,1.81,0.96,2.20,1.08,2.90,1.04,4.50,12.50,7.40,8.56,8.23,2.24,1.44,4.45,5.65,13.06,8.00,13.35,10.55,7.42,4.67,5.38
Tragelaphus euryceros,Treu  ,Art ,Bovid    ,MC    ,MC    ,205,1.63253012,1.92,155,8.30,1.60,0.89,2.15,1.19,2.50,1.20,3.30,1.18,5.05,13.55,8.20,9.50,7.70,2.28,1.95,6.00,6.54,17.40,10.02,17.40,14.36,9.22,4.34,4.75
Tragelaphus imberbis,Trim  ,Art ,Bovid    ,MC    ,MC    ,91.5,1.689368771,2.18,160,6.02,1.49,0.79,1.41,0.96,1.78,1.07,2.48,1.05,3.64,10.17,6.17,6.90,6.38,1.92,1.50,3.73,4.49,11.42,6.13,11.62,9.50,6.10,3.57,3.50
Tragulus javanicus,Trja  ,Art ,Trag     ,Fr    ,Fr    ,3,1.531181218,1.47,171,2.27,0.56,0.20,0.58,0.32,0.65,0.37,0.90,0.37,1.77,3.48,1.63,2.27,1.98,0.73,0.52,1.23,1.61,4.09,2.75,3.20,3.77,1.21,0.62,0.78
Tragulus meminna,Trme  ,Art ,Trag     ,Fr    ,Fr    ,4,1.571146245,1.72,170,2.53,0.73,0.19,0.70,0.36,0.74,0.39,1.02,0.39,2.08,3.98,1.72,2.60,2.22,0.79,0.58,1.35,1.98,4.73,2.86,3.80,4.66,1.46,0.97,0.89
Tragulus napu,Trna  ,Art ,Trag     ,Fr    ,Fr    ,6,1.72019297,1.67,168,2.42,0.65,0.20,0.64,0.37,0.74,0.42,0.96,0.42,2.03,4.16,1.88,2.76,2.14,0.73,0.58,1.49,1.78,4.57,3.03,3.72,3.52,1.46,0.67,1.00
Tragelaphus scriptus,Trsc  ,Art ,Bovid    ,Br    ,Br    ,48,2.026969482,2.54,164,4.14,1.01,0.56,1.09,0.65,1.27,0.72,1.77,0.72,2.58,8.40,4.32,5.15,4.47,1.30,1.06,2.88,3.70,11.20,5.25,9.93,7.17,3.92,2.96,2.67
Tragelaphus spekei,Trsp  ,Art ,Bovid    ,MC    ,Br    ,74,1.831212121,2.90,157,5.50,1.35,0.71,1.39,0.81,1.65,0.79,2.26,0.82,3.37,10.07,5.26,6.54,5.54,1.65,1.32,3.38,4.33,11.68,6.12,10.74,9.28,5.07,3.63,2.90
Tragelaphus strepciceros,Trst  ,Art ,Bovid    ,Br    ,Br    ,196,1.66870766,2.29,157,8.08,1.80,1.05,2.00,1.35,2.39,1.38,3.41,1.40,4.91,13.48,8.75,10.11,7.87,2.54,1.97,5.33,6.10,18.14,9.67,16.16,10.04,8.87,4.93,4.71
Vicugna vicugna,Vivi  ,Art ,Camel    ,MO    ,MO    ,45,1.418412698,4.33,166,5.25,0.83,0.40,1.38,0.73,1.65,0.89,2.21,0.83,0.79,7.45,5.28,8.35,4.90,1.71,1.23,2.34,2.72,14.32,4.97,8.53,7.79,4.27,4.41,2.52
