Species,n_dental,n_skull,Diet,Body_mass,Pal_leng,Pal_wid,Pal_area,Jaw_leng,P3_MD,P3_BL,P3_area,P4_MD,P4_BL,P4_area,PM_area,M1_MD,M1_BL,M1_area,M2_MD,M2_BL,M2_area,M3_MD,M3_BL,M3_area,MR_area
Macaca_mulatta,22,21,F,11000,49.36,22.84,1127.13,87.38,5.26,6.13,32.28,4.98,6.5,32.34,64.62,6.96,7.05,49.06,8.23,8.13,66.92,8.06,8.02,64.62,180.6
Macaca_nemestrina,20,28,F,11200,68.2,30.27,2064.62,112.52,6.28,6.8,42.72,6,7.33,43.96,86.68,7.8,7.55,58.94,8.96,8.75,78.43,9.27,8.83,81.81,219.18
Macaca_nemestrina_leonina,4,6,F,7700,55.96,24.59,1376.19,99.14,5.44,6.15,33.44,5.47,6.47,35.34,68.78,7.22,7.15,51.62,8.5,8.28,70.34,8.25,8.25,68.04,190
Macaca_nigra,21,11,F,9890,58.57,25.64,1501.75,100.01,5.74,6.12,35.17,5.6,6.53,36.58,71.75,7.53,7.26,54.61,8.79,8.32,73.18,8.74,8.13,70.98,198.77
Macaca_sinica,26,21,F,5680,45.52,19.86,903.79,80.85,4.76,5.29,25.19,4.74,5.88,27.9,53.09,6.57,6.24,40.95,7.35,7.17,52.66,6.97,7.04,49.04,142.65
Macaca_tonkeana,12,10,F,14900,64.41,26.52,1708.26,109.76,6.24,6.09,37.99,6.31,6.69,42.19,80.18,8.28,7.55,62.5,9.43,8.45,79.68,9.29,8.24,76.61,218.79
Mandrillus_leucophaeus,22,24,H,17500,98.53,33.37,3288.26,153.1,8.54,9.11,77.83,8.59,10.37,89.14,166.97,10.81,9.87,106.62,12.62,11.98,151.15,12.74,12.49,159.04,416.82
Mandrillus_sphinx,8,14,H,31600,114.99,35.62,4095.69,170.93,9.19,8.54,78.47,8.95,9.83,87.93,166.41,10.89,9.59,104.44,12.56,11.48,144.22,12.62,11.7,147.68,396.34
Miopithecus_talapoin,27,17,F,1380,22.73,14.57,331.11,46.18,2.7,3.02,8.16,2.69,3.59,9.65,17.81,3.89,4.03,15.68,4.1,4.43,18.14,3.59,3.88,13.91,47.73
Nasalis_larvatus,7,25,L,20400,45.55,24.02,1094.04,94.41,5.68,6.16,34.96,5.28,6.34,33.48,68.44,7.41,6.62,49.07,8.18,7.55,61.74,8.17,7.3,59.7,170.5
Nomascus_concolor,13,16,F,7790,42.07,20.27,852.72,73.87,5.07,5.48,27.76,4.7,6.13,28.83,56.59,6.09,6.74,41.05,6.3,7.29,45.92,5.72,6.8,38.86,125.83
Pan_paniscus,17,18,F,45000,60.34,31.49,1900.07,114.99,7.91,9.72,76.86,6.58,9.51,62.62,139.49,9.21,10.39,95.75,9.14,10.54,96.36,8.46,10.05,85.02,277.13
Pan_troglodytes_schweinfurthii,9,17,F,42700,80.37,38.28,3076.94,143.85,7.89,10.11,79.82,7.47,10.49,78.4,158.22,10.91,11.75,128.19,11.04,11.86,130.93,10.22,11,112.48,371.6
Pan_troglodytes_troglodytes,14,19,F,59700,78.07,37.32,2913.43,141.9,8.65,10.74,92.89,7.72,10.71,82.62,175.51,10.88,11.76,127.93,10.92,12.03,131.39,10.07,11.7,117.75,377.07
Papio_anubis,7,23,F,25100,94.39,31.13,2938.14,148.61,7.82,8.21,64.2,7.85,9.23,72.48,136.69,10.93,10.31,112.66,13.05,12.48,162.92,13.57,12.5,169.57,445.15
Papio_cynocephalus,8,7,F,21800,63.28,25.45,1610.46,107.1,5.88,6.63,38.97,6.16,7.61,46.88,85.84,9.02,8.68,78.24,10.58,10.22,108.13,10.88,10.56,114.91,301.27
Papio_hamadryas,21,41,F,16900,84.64,28.33,2398.15,137.78,7.38,7.63,56.33,7.49,8.87,66.46,122.79,10.59,9.71,102.82,12.76,11.57,147.68,12.82,11.62,148.98,399.48
Piliocolobus_badius,25,24,L,8360,44.54,20.79,925.89,85.52,5.24,5.62,29.44,5.1,6.16,31.41,60.85,7.09,6.5,46.08,7.48,7.13,53.3,7.37,6.99,51.51,150.88
Pongo_abelii,3,11,H,77900,93.96,42.54,3996.72,177.66,10.46,13,135.9,9.45,13.08,123.65,259.55,12.5,13.37,167.12,12.5,13.83,172.88,10.5,11.75,123.38,463.37
Pongo_pygmaeus,20,18,H,78500,91.36,40.58,3707.12,179.25,10.62,13.15,139.73,10.03,13.77,138.13,277.86,12.79,14.08,180.09,13.05,14.69,191.69,12.4,14.3,177.29,549.08
Presbytis_comata,8,14,L,6680,30.01,19.07,572.48,67.32,4.54,5.15,23.41,4.31,5.92,25.51,48.92,5.89,6.34,37.33,5.84,6.61,38.6,5.61,6.19,34.67,110.61
Presbytis_melalophos,16,26,L,6590,28.04,17.74,497.29,63.98,4.08,4.72,19.28,3.94,5.37,21.14,40.42,5.46,5.86,32.01,5.45,5.93,32.33,4.94,5.47,27.06,91.39
Procolobus_verus,24,26,L,4700,29.95,17.38,520.49,61.15,3.77,4.79,18.06,3.77,5.36,20.21,38.27,5.31,5.11,27.13,5.4,5.59,30.2,5.44,5.64,30.68,88
Pygathrix_nemaeus,11,15,L,11000,37.52,22.36,838.74,80.45,5.35,6.32,33.83,5.08,6.77,34.41,68.24,6.93,6.67,46.25,7.36,7.27,53.56,7.66,7.04,53.9,153.71
Semnopithecus_entellus,7,8,L,13000,50.45,24.26,1223.98,95.1,5.75,6.59,37.91,5.66,7.43,42.07,79.98,7.89,7.54,59.51,8.72,8.68,75.68,8.77,8.5,74.56,209.75
Symphalangus_syndactylus,27,28,L,11900,53.96,24.8,1337.93,92.09,6.03,6.27,37.85,5.68,6.66,37.84,75.69,7.5,7.42,55.63,8.4,8.37,70.38,7.48,8,59.78,185.79
Theropithecus_gelada,24,18,L,19000,78.09,25.18,1966.01,131.66,6.88,7.42,51.06,7.12,8.21,58.5,109.56,10.83,9.47,102.51,13.21,11.31,149.41,13.63,11.78,160.48,412.41
Trachypithecus_cristatus,20,20,L,6610,39.47,20.66,815.32,77.28,5.27,6.24,32.88,4.9,6.69,32.82,65.7,6.81,6.79,46.25,7.48,7.59,56.73,7.12,7.18,51.13,154.12
Trachypithecus_francoisi,3,3,L,7700,33.76,20.09,678.24,73.88,4.62,5.16,23.87,4.37,5.79,25.32,49.19,6.37,6.58,41.94,6.75,7,47.23,6.79,6.62,44.95,134.11
Trachypithecus_obscurus,18,14,L,7900,34.86,19.34,674.22,71.57,4.68,5.31,24.89,4.48,5.95,26.65,51.54,6.11,6.1,37.29,6.7,6.75,45.22,6.16,6.15,37.85,120.36
Trachypithecus_pileatus,7,14,L,12000,40.1,22.85,916.2,80.6,4.82,6.28,30.29,4.82,7.1,34.25,64.55,6.77,7.32,49.53,7.16,7.84,56.11,6.85,7.34,50.29,155.93
Trachypithecus_vetulus,22,22,L,8170,37.87,19.05,721.54,73.02,4.74,5.38,25.5,4.55,6.03,27.43,52.93,6.47,6.26,40.5,6.77,6.84,46.29,6.79,6.61,44.84,131.63
